date,covid,covid_unsmoothed,lower_ci,upper_ci,level,activity_category
2025-01-22,567.9162097502219,329.5213829017876,258.57288129109725,400.4698845124779,high,not calculated
2025-01-24,512.9849456157748,817.2868742245486,723.3450077786304,911.2287406704667,high,not calculated
2025-01-27,350.3964485081878,337.308415400746,268.12933614013104,406.4874946613609,high,not calculated
2025-01-29,326.03940965803884,384.3595472220298,300.95165426053313,467.76744018352645,high,not calculated
2025-01-31,326.03940965803884,256.4502663513409,187.90703170227013,324.9935010004116,high,not calculated
2025-02-03,289.30298290247435,227.09913513405246,186.93749009534855,267.26078017275637,high,not calculated
2025-02-05,585.1178433324467,1271.8041285119466,1167.6431000454272,1375.965156978466,high,not calculated
2025-02-07,579.2111434054914,169.62146002566524,137.69433879569078,201.54858125563973,high,not calculated
2025-02-10,617.1982928509467,11628.822711302573,9756.284309760493,13501.361112844654,high,not calculated
2025-02-12,318.43560772188704,238.73016657047503,178.34917289373774,299.11116024721235,high,not calculated
2025-02-14,330.35899751334665,341.0605834704186,275.9308924634285,406.1902744774087,high,not calculated
2025-02-17,285.338264732391,375.51607312476744,327.2420668989695,423.79007935056546,high,not calculated
2025-02-19,330.35899751334665,274.500335944854,238.59417041018457,310.4065014795234,high,not calculated
2025-02-21,296.8234279505073,240.45387478190042,167.36626238332215,313.5414871804787,high,not calculated
2025-02-24,246.59670467924894,508.1287079563429,400.88188532681943,615.3755305858664,high,not calculated
2025-02-26,211.31269511245875,168.64830724448336,111.02478887964821,226.27182560931848,high,not calculated
2025-02-28,247.91022134804703,224.83590331099248,129.36069751050613,320.3111091114788,high,not calculated
2025-03-03,193.8730206874023,163.1171638588334,131.66626897118974,194.56805874647708,high,not calculated
2025-03-05,209.4468340415258,350.24645348866534,294.3263805780845,406.1665263992461,high,not calculated
2025-03-07,210.25586634902507,188.13485150673105,127.91316532507035,248.35653768839174,high,not calculated
2025-03-10,259.199428672127,215.36974730685387,158.19606495604788,272.54342965765983,high,not calculated
2025-03-12,255.13624989118716,227.26300023349032,106.60881593899606,347.9171845279846,high,not calculated
2025-03-14,255.13624989118716,334.96553847603684,283.55161902029135,386.37945793178227,high,not calculated
